Title,Price,Availability
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,In stock
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,In stock
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,In stock
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,In stock
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,In stock
The Art of Startup Fundraising,£21.00,In stock
Born for This: How to Find the Work You Were Meant to Do,£21.59,In stock
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91,In stock
"Rich Dad, Poor Dad",£51.74,In stock
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92,In stock
Rework,£44.88,In stock
